test_name	exit_code	elapsed_us
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	5879
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_block_js	0	5092
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_update_js	0	5079
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_js	0	5084
annexB_language_eval_code_direct_global_switch_case_eval_global_update_js	0	5198
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	5354
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_for_js	0	5636
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_init_js	0	30882
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	8900
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_switch_js	0	6350
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_js	0	5419
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_update_js	0	5795
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_no_skip_try_js	0	5917
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	7303
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	6480
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	6495
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	6555
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	5706
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_global_init_js	0	29171
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_update_js	0	5633
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_block_scoping_js	0	8538
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	6007
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_no_skip_try_js	0	6899
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_for_in_js	0	6355
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_block_scoping_js	0	6085
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_skip_early_err_block_js	0	6428
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_existing_non_enumerable_global_init_js	0	24641
