test_name	exit_code	rss_before_kb	rss_after_kb	rss_delta_kb
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_update_js	0	44592	51360	6768
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_skip_early_err_switch_js	0	181840	182896	1056
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_update_js	0	105984	106784	800
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_block_fn_no_init_js	0	141776	142960	1184
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_fn_update_js	0	80000	81344	1344
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_no_skip_try_js	0	118000	124896	6896
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_in_js	0	131840	133216	1376
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	133216	134256	1040
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_var_no_init_js	0	105056	105984	928
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_no_init_js	0	58464	65440	6976
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_existing_block_fn_update_js	0	65440	72704	7264
annexB_language_eval_code_indirect_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	136784	137840	1056
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_fn_no_init_js	0	195840	197008	1168
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	144240	145600	1360
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_block_scoping_js	0	140384	141776	1392
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_non_enumerable_global_init_js	0	159376	164000	4624
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_non_enumerable_global_init_js	0	204816	209168	4352
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_no_init_js	0	164000	165040	1040
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_var_update_js	0	165040	166128	1088
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_block_scoping_js	0	186240	193472	7232
annexB_language_eval_code_indirect_global_if_decl_else_stmt_eval_global_existing_fn_update_js	0	145600	146768	1168
annexB_language_eval_code_indirect_global_if_decl_no_else_eval_global_existing_global_init_js	0	198224	203520	5296
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_block_js	0	163616	164672	1056
annexB_language_eval_code_indirect_global_block_decl_eval_global_existing_global_init_js	0	114960	120512	5552
annexB_language_eval_code_direct_var_env_lower_lex_catch_non_strict_js	0	92560	102576	10016
annexB_language_eval_code_indirect_global_block_decl_eval_global_no_skip_try_js	0	162624	163616	992
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_switch_js	0	174112	175088	976
annexB_language_eval_code_direct_switch_case_decl_nostrict_js	0	90128	91376	1248
