test_name	exit_code	elapsed_us
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_block_scoping_js	0	23347
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_block_fn_no_init_js	0	20175
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_for_in_js	0	22050
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_existing_global_init_js	0	56309
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_init_js	0	44512
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_try_js	0	18089
annexB_language_eval_code_indirect_global_block_decl_eval_global_skip_early_err_js	0	17863
annexB_language_eval_code_indirect_global_if_decl_else_decl_a_eval_global_skip_early_err_block_js	0	16856
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_of_js	0	15840
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_var_no_init_js	0	17882
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_js	0	14358
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_in_js	0	20606
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_block_js	0	19041
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_for_js	0	16285
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_fn_update_js	0	14664
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_non_enumerable_global_init_js	0	52562
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_skip_early_err_try_js	0	17955
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_non_enumerable_global_init_js	0	48090
annexB_language_eval_code_direct_global_switch_case_eval_global_block_scoping_js	0	17463
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_fn_no_init_js	0	18924
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_no_init_js	0	15171
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_global_init_js	0	86889
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_block_fn_update_js	0	19978
annexB_language_eval_code_direct_global_switch_case_eval_global_existing_var_no_init_js	0	15033
annexB_language_eval_code_direct_global_switch_case_eval_global_no_skip_try_js	0	15763
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_block_js	0	15118
annexB_language_eval_code_direct_global_if_stmt_else_decl_eval_global_existing_fn_no_init_js	0	18472
annexB_language_eval_code_direct_global_switch_dflt_eval_global_skip_early_err_block_js	0	13951
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_var_update_js	0	14860
annexB_language_eval_code_direct_global_switch_case_eval_global_skip_early_err_for_js	0	15210
annexB_language_eval_code_direct_global_switch_case_eval_global_update_js	0	15048
annexB_language_eval_code_direct_global_switch_dflt_eval_global_existing_block_fn_no_init_js	0	15156
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_for_js	0	16805
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_init_js	0	46520
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_for_of_js	0	24632
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_switch_js	0	20341
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_skip_early_err_js	0	16992
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_block_fn_update_js	0	17907
annexB_language_eval_code_direct_global_if_decl_no_else_eval_global_no_skip_try_js	0	16718
annexB_language_eval_code_direct_global_if_decl_else_decl_b_eval_global_skip_early_err_try_js	0	19703
annexB_language_eval_code_direct_global_if_decl_else_stmt_eval_global_existing_fn_no_init_js	0	18972
